country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Mexico,1995,female,55-74 years,34,3538000,0.96,Mexico1995,0.67,"360,073,909,244",4505,Silent
Mexico,1995,male,5-14 years,50,10758200,0.46,Mexico1995,0.67,"360,073,909,244",4505,Millenials
Mexico,1995,female,5-14 years,27,10379800,0.26,Mexico1995,0.67,"360,073,909,244",4505,Millenials
Mexico,1996,male,75+ years,115,684228,16.81,Mexico1996,,"410,975,595,310",4904,G.I. Generation
Mexico,1996,male,55-74 years,309,3367371,9.18,Mexico1996,,"410,975,595,310",4904,Silent
Mexico,1996,male,25-34 years,620,7310893,8.48,Mexico1996,,"410,975,595,310",4904,Generation X
Mexico,1996,male,35-54 years,638,8288306,7.7,Mexico1996,,"410,975,595,310",4904,Boomers
Mexico,1996,male,15-24 years,771,10461846,7.37,Mexico1996,,"410,975,595,310",4904,Generation X
Mexico,1996,female,15-24 years,217,10401655,2.09,Mexico1996,,"410,975,595,310",4904,Generation X
Mexico,1996,female,25-34 years,108,7578706,1.43,Mexico1996,,"410,975,595,310",4904,Generation X
Mexico,1996,female,35-54 years,103,8556474,1.2,Mexico1996,,"410,975,595,310",4904,Boomers
Mexico,1996,female,55-74 years,33,3868948,0.85,Mexico1996,,"410,975,595,310",4904,Silent
Mexico,1996,male,5-14 years,61,11350080,0.54,Mexico1996,,"410,975,595,310",4904,Millenials
Mexico,1996,female,75+ years,4,953167,0.42,Mexico1996,,"410,975,595,310",4904,G.I. Generation
Mexico,1996,female,5-14 years,29,10980620,0.26,Mexico1996,,"410,975,595,310",4904,Millenials
Mexico,1997,male,75+ years,109,713693,15.27,Mexico1997,,"500,413,483,109",5864,G.I. Generation
Mexico,1997,male,25-34 years,721,7614070,9.47,Mexico1997,,"500,413,483,109",5864,Generation X
Mexico,1997,male,15-24 years,931,10469891,8.89,Mexico1997,,"500,413,483,109",5864,Generation X
Mexico,1997,male,55-74 years,280,3469821,8.07,Mexico1997,,"500,413,483,109",5864,Silent
Mexico,1997,male,35-54 years,689,8545328,8.06,Mexico1997,,"500,413,483,109",5864,Boomers
Mexico,1997,female,15-24 years,255,10389836,2.45,Mexico1997,,"500,413,483,109",5864,Generation X
Mexico,1997,female,25-34 years,118,7878137,1.5,Mexico1997,,"500,413,483,109",5864,Generation X
Mexico,1997,female,35-54 years,97,8847199,1.1,Mexico1997,,"500,413,483,109",5864,Boomers
Mexico,1997,female,55-74 years,35,3962305,0.88,Mexico1997,,"500,413,483,109",5864,Silent
Mexico,1997,male,5-14 years,81,11419034,0.71,Mexico1997,,"500,413,483,109",5864,Millenials
Mexico,1997,female,75+ years,4,995305,0.4,Mexico1997,,"500,413,483,109",5864,G.I. Generation
Mexico,1997,female,5-14 years,30,11036261,0.27,Mexico1997,,"500,413,483,109",5864,Millenials
Mexico,1998,male,75+ years,117,743519,15.74,Mexico1998,,"526,502,129,378",6064,G.I. Generation
Mexico,1998,male,25-34 years,774,7923430,9.77,Mexico1998,,"526,502,129,378",6064,Generation X
Mexico,1998,male,15-24 years,860,10444415,8.23,Mexico1998,,"526,502,129,378",6064,Generation X
Mexico,1998,male,55-74 years,288,3576372,8.05,Mexico1998,,"526,502,129,378",6064,Silent
Mexico,1998,male,35-54 years,676,8802383,7.68,Mexico1998,,"526,502,129,378",6064,Boomers
Mexico,1998,female,15-24 years,227,10340767,2.2,Mexico1998,,"526,502,129,378",6064,Generation X
Mexico,1998,female,25-34 years,113,8178534,1.38,Mexico1998,,"526,502,129,378",6064,Generation X
Mexico,1998,female,35-54 years,95,9136813,1.04,Mexico1998,,"526,502,129,378",6064,Boomers
Mexico,1998,female,75+ years,10,1038891,0.96,Mexico1998,,"526,502,129,378",6064,G.I. Generation
Mexico,1998,male,5-14 years,87,11488804,0.76,Mexico1998,,"526,502,129,378",6064,Millenials
Mexico,1998,female,55-74 years,29,4058048,0.71,Mexico1998,,"526,502,129,378",6064,Silent
Mexico,1998,female,5-14 years,36,11093702,0.32,Mexico1998,,"526,502,129,378",6064,Millenials
Mexico,1999,male,75+ years,109,772816,14.1,Mexico1999,,"600,232,874,043",6800,G.I. Generation
Mexico,1999,male,15-24 years,940,10416842,9.02,Mexico1999,,"600,232,874,043",6800,Generation X
Mexico,1999,male,25-34 years,726,8214958,8.84,Mexico1999,,"600,232,874,043",6800,Generation X
Mexico,1999,male,55-74 years,317,3684714,8.6,Mexico1999,,"600,232,874,043",6800,Silent
Mexico,1999,male,35-54 years,668,9064400,7.37,Mexico1999,,"600,232,874,043",6800,Boomers
Mexico,1999,female,15-24 years,211,10286270,2.05,Mexico1999,,"600,232,874,043",6800,Generation X
Mexico,1999,female,35-54 years,114,9433287,1.21,Mexico1999,,"600,232,874,043",6800,Boomers
Mexico,1999,female,25-34 years,100,8457907,1.18,Mexico1999,,"600,232,874,043",6800,Generation X
Mexico,1999,female,75+ years,9,1083212,0.83,Mexico1999,,"600,232,874,043",6800,G.I. Generation
Mexico,1999,female,55-74 years,34,4152769,0.82,Mexico1999,,"600,232,874,043",6800,Silent
Mexico,1999,male,5-14 years,59,11553882,0.51,Mexico1999,,"600,232,874,043",6800,Millenials
Mexico,1999,female,5-14 years,40,11150920,0.36,Mexico1999,,"600,232,874,043",6800,Millenials
Mexico,2000,male,75+ years,105,801173,13.11,Mexico2000,0.699,"707,906,744,575",7892,G.I. Generation
Mexico,2000,male,25-34 years,797,8473261,9.41,Mexico2000,0.699,"707,906,744,575",7892,Generation X
Mexico,2000,male,15-24 years,870,10407812,8.36,Mexico2000,0.699,"707,906,744,575",7892,Generation X
Mexico,2000,male,55-74 years,317,3793938,8.36,Mexico2000,0.699,"707,906,744,575",7892,Silent
Mexico,2000,male,35-54 years,755,9334127,8.09,Mexico2000,0.699,"707,906,744,575",7892,Boomers
Mexico,2000,female,15-24 years,231,10247321,2.25,Mexico2000,0.699,"707,906,744,575",7892,Generation X
Mexico,2000,female,25-34 years,101,8702615,1.16,Mexico2000,0.699,"707,906,744,575",7892,Generation X
Mexico,2000,female,35-54 years,111,9741546,1.14,Mexico2000,0.699,"707,906,744,575",7892,Boomers
Mexico,2000,female,75+ years,12,1128113,1.06,Mexico2000,0.699,"707,906,744,575",7892,G.I. Generation
Mexico,2000,female,55-74 years,39,4245190,0.92,Mexico2000,0.699,"707,906,744,575",7892,Silent
Mexico,2000,male,5-14 years,75,11611360,0.65,Mexico2000,0.699,"707,906,744,575",7892,Millenials
Mexico,2000,female,5-14 years,43,11208337,0.38,Mexico2000,0.699,"707,906,744,575",7892,Millenials
Mexico,2001,male,75+ years,161,836476,19.25,Mexico2001,,"756,706,300,590",8311,Silent
Mexico,2001,male,25-34 years,837,8719740,9.6,Mexico2001,,"756,706,300,590",8311,Generation X
Mexico,2001,male,15-24 years,908,10392763,8.74,Mexico2001,,"756,706,300,590",8311,Millenials
Mexico,2001,male,55-74 years,338,3891947,8.68,Mexico2001,,"756,706,300,590",8311,Silent
Mexico,2001,male,35-54 years,765,9614513,7.96,Mexico2001,,"756,706,300,590",8311,Boomers
Mexico,2001,female,15-24 years,263,10198732,2.58,Mexico2001,,"756,706,300,590",8311,Millenials
Mexico,2001,female,25-34 years,136,8930235,1.52,Mexico2001,,"756,706,300,590",8311,Generation X
Mexico,2001,female,35-54 years,148,10069614,1.47,Mexico2001,,"756,706,300,590",8311,Boomers
Mexico,2001,female,55-74 years,51,4322994,1.18,Mexico2001,,"756,706,300,590",8311,Silent
Mexico,2001,female,75+ years,13,1178437,1.1,Mexico2001,,"756,706,300,590",8311,Silent
Mexico,2001,male,5-14 years,79,11648383,0.68,Mexico2001,,"756,706,300,590",8311,Millenials
Mexico,2001,female,5-14 years,61,11248880,0.54,Mexico2001,,"756,706,300,590",8311,Millenials
Mexico,2002,male,75+ years,124,869659,14.26,Mexico2002,,"772,106,378,935",8357,Silent
Mexico,2002,male,25-34 years,852,8935002,9.54,Mexico2002,,"772,106,378,935",8357,Generation X
Mexico,2002,male,15-24 years,919,10391176,8.84,Mexico2002,,"772,106,378,935",8357,Millenials
